Title,Slug,Maps URL,Description,Tags,Priority,Route Hint,Featured,Needs Review,Published,Source,Lat,Lng,Phone,Hours,Address
Fort Amargosa | Punjabi Dhaba,fort-amargosa-punjabi-dhaba,https://www.google.com/maps/place/Fort+Amargosa+%7C+Punjabi+Dhaba/data=!4m2!3m1!1s0x80c79f00589e3f5f:0x3fce62c3d8de1db4,Dhaba with truck parking famous for their parathas and biryani. Indian food right by Death Valley NP,"Truck Parking, National Park, Death Valley, ",Medium,US-95 · NV,Yes,Yes,Yes,Google Maps,36.63359,-116.370218,(775) 990-9232,Monday: 9:00 AM – 8:30 PM | Tuesday: 9:00 AM – 8:30 PM | Wednesday: 9:00 AM – 8:30 PM | Thursday: 9:00 AM – 8:30 PM | Friday: 9:00 AM – 8:30 PM | Saturday: 9:00 AM – 8:30 PM | Sunday: 9:00 AM – 8:30 PM,"5317 US-95 E Highway 95, Amargosa Valley, NV 89020, USA"
Indian kitchen at Akal Travel Center,indian-kitchen-at-akal-travel-center,https://www.google.com/maps/place/Indian+kitchen+at+Akal+Travel+Center/data=!4m2!3m1!1s0x8767d7aacd1f7957:0xf4c1e9c3889ef5e,Simple Dhaba inside Akal Travel Center with a limited menu. ,"Truck Parking, gas, showers ",Medium,Near I-80 · WY,No,Yes,Yes,Google Maps,41.47372,-105.923083,(307) 745-8130,Monday: 8:30 AM – 7:30 PM | Tuesday: 8:30 AM – 7:30 PM | Wednesday: 8:30 AM – 7:30 PM | Thursday: 8:30 AM – 7:30 PM | Friday: 8:30 AM – 7:30 PM | Saturday: 8:30 AM – 7:30 PM | Sunday: 8:30 AM – 7:30 PM,"168 Hunt Rd, Laramie, WY 82070, USA"
The Dhaba On The Falls,the-dhaba-on-the-falls,https://www.google.com/maps/place/The+Dhaba+On+The+Falls/data=!4m2!3m1!1s0x89d3432af62e6257:0x33088348ebb43976,"“Every dish we tried was full of rich, traditional flavours — from the creamy paneer dishes to the perfectly cooked dal and fresh, soft naan.”","Truck Parking, New York",Medium,Near I-90 · ON,No,Yes,Yes,Google Maps,43.111212,-79.066422,(905) 938-8030,Monday: 12:00 PM – 12:00 AM | Tuesday: 12:00 PM – 12:00 AM | Wednesday: 12:00 PM – 12:00 AM | Thursday: 12:00 PM – 12:00 AM | Friday: 12:00 PM – 12:00 AM | Saturday: 12:00 PM – 2:00 AM | Sunday: 12:00 PM – 12:00 AM,"5039 Centre St, Niagara Falls, ON L2G 3N6, Canada"
Punjabi Dhaba,punjabi-dhaba,https://www.google.com/maps/place/Punjabi+Dhaba/data=!4m2!3m1!1s0x882b3bfe01544a5b:0x3d48bd2bda152c5b,Traditional vegetarian & meat dishes are offered at this unfussy Indian eatery with fruit shakes.,"Truck Parking, New York",Medium,,No,Yes,Yes,Google Maps,43.702202,-79.644936,(905) 956-3442,Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 12:00 AM | Wednesday: 9:00 AM – 12:00 AM | Thursday: 9:00 AM – 12:00 AM | Friday: 9:00 AM – 12:00 AM | Saturday: 9:00 AM – 12:00 AM | Sunday: 9:00 AM – 12:00 AM,"2855 Derry Rd E, Mississauga, ON L4T 1A6, Canada"
ZHILMIL PUNJABI DHABA WY,zhilmil-punjabi-dhaba-wy,https://www.google.com/maps/place/ZHILMIL+PUNJABI+DHABA+WY/data=!4m2!3m1!1s0x875b7f7e6d903163:0x3aed3b1e6760391c,Simple dhaba off I-80 in Wyoming.,"Truck Parking, I-80",Medium,I-80 · WY,No,Yes,Yes,Google Maps,41.725234,-108.100572,(227) 226-8106,Monday: 8:00 AM – 1:00 AM | Tuesday: 8:00 AM – 1:00 AM | Wednesday: 8:00 AM – 1:00 AM | Thursday: 8:00 AM – 1:00 AM | Friday: 8:00 AM – 1:00 AM | Saturday: 8:00 AM – 1:00 AM | Sunday: 8:00 AM – 1:00 AM,"16610 Red Desert Rd EXIT 165, Wamsutter, WY 82336, USA"
The Veggie Bite,the-veggie-bite,https://www.google.com/maps/place/The+Veggie+Bite/data=!4m2!3m1!1s0x87aa3dae8ed44b4d:0xe345f3a6487984d6,Dhaba with specialties like Rumali roti and Fish dry. ,"Truck Parking, I-40, bathrooms,",Medium,I-40 · TX,Yes,Yes,Yes,Google Maps,35.255951,-100.22165,(806) 216-1663,Monday: 7:00 AM – 1:00 AM | Tuesday: 7:00 AM – 1:00 AM | Wednesday: 7:00 AM – 1:00 AM | Thursday: 7:00 AM – 1:00 AM | Friday: 7:00 AM – 1:00 AM | Saturday: 7:00 AM – 1:00 AM | Sunday: 7:00 AM – 1:00 AM,"301 I-40 Suite 1, Shamrock, TX 79079, USA"
Highway40 pizza and Dhaba,highway40-pizza-and-dhaba,https://www.google.com/maps/place/Highway40+pizza+and+Dhaba/data=!4m2!3m1!1s0x87abcb420462f677:0x31ca43d172bb170c,Dhaba right off the highway specializes in Mango lassi and has pizzas on top of a regular Dhaba menu,"Truck Parking, I-40, bathrooms,",Medium,I-40 · TX,Yes,Yes,Yes,Google Maps,35.232872,-99.879991,(806) 256-5209,Monday: 7:00 AM – 11:00 PM | Tuesday: 7:00 AM – 11:00 PM | Wednesday: 7:00 AM – 11:00 PM | Thursday: 7:00 AM – 11:00 PM | Friday: 7:00 AM – 11:00 PM | Saturday: 7:00 AM – 11:00 PM | Sunday: 7:00 AM – 11:00 PM,"16421 I-40, Shamrock, TX 79079, USA"
Punjabi Dhaba / Indian kitchen,punjabi-dhaba-indian-kitchen,https://www.google.com/maps/place/Punjabi+Dhaba+%2F+Indian+kitchen/data=!4m2!3m1!1s0x86579f048c4681f3:0xdee74a8ca0947828,Take out only Dhaba inside an Indian grocery store,"Truck Parking, Bathrooms",Medium,US-83 · TX,No,Yes,Yes,Google Maps,31.565142,-99.955359,(325) 732-2042,Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 9:00 AM – 9:00 PM | Saturday: 9:00 AM – 9:00 PM | Sunday: 9:00 AM – 9:00 PM,"22693 US-83, Paint Rock, TX 76866, USA"
Desi Dhaba,desi-dhaba,https://www.google.com/maps/place/Desi+Dhaba/data=!4m2!3m1!1s0x86561d00198f0919:0xebdc9448e64862fe,Simple Dhaba at a truck stop ,"Truck Parking, I-20, Gas, Bathrooms,",Medium,I-20 · TX,No,Yes,Yes,Google Maps,32.408935,-100.575201,(806) 686-4389,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,"12825 S Interstate Hwy 20, Roscoe, TX 79545, USA"
Punjabi Dhaba,punjabi-dhaba,https://www.google.com/maps/place/Punjabi+Dhaba/data=!4m2!3m1!1s0x872565a6658c2c73:0xd3dc8ed5510d2f79,Truck Stop Dhaba with seating ,"Truck Parking, I-40, Gas, Bathrooms, Hotel, Arizona, Seating",Medium,Right off I-40 Arizona,Yes,Yes,Yes,Google Maps,35.234613,-109.411749,(929) 667-5300,"Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","U.S. Rte 66, Sanders, AZ 86512, USA"
